REGIONID,PRODUCTGROUP,WEEK,MEAN_VOLUME
A01,ST0002,1,158086
A01,ST0002,2,128312
A01,ST0002,3,127417
A01,ST0002,4,157127
A01,ST0002,5,197415
A01,ST0002,6,150261
A01,ST0002,7,151425
A01,ST0002,8,147848
A01,ST0002,9,145931
A01,ST0002,10,149626
A01,ST0002,11,147311
A01,ST0002,12,145426
A01,ST0002,13,138794
A01,ST0002,14,141270
A01,ST0002,15,133726
A01,ST0002,16,139517
A01,ST0002,17,132201
A01,ST0002,18,143831
A01,ST0002,19,136772
A01,ST0002,20,137546
A01,ST0002,21,157267
A01,ST0002,22,167130
A01,ST0002,23,137527
A01,ST0002,24,150257
A01,ST0002,25,138271
A01,ST0002,26,155637
A01,ST0002,27,184550
A01,ST0002,28,142598
A01,ST0002,29,154985
A01,ST0002,30,133998
A01,ST0002,31,140732
A01,ST0002,32,134564
A01,ST0002,33,150105
A01,ST0002,34,168303
A01,ST0002,35,149570
A01,ST0002,36,210006
A01,ST0002,37,195106
A01,ST0002,38,132870
A01,ST0002,39,129992
A01,ST0002,40,139629
A01,ST0002,41,127720
A01,ST0002,42,136559
A01,ST0002,43,124142
A01,ST0002,44,133493
A01,ST0002,45,155032
A01,ST0002,46,184242
A01,ST0002,47,378339
A01,ST0002,48,1400339
A01,ST0002,49,669711
A01,ST0002,50,294579
A01,ST0002,51,356271
A01,ST0002,52,422468
A01,ST0002,53,232523
